Titel  - http://www.opendatakaart.nl/catalogus/datasets/datasets_dataset/t/kantorenleegstand_2013	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	gemeente	Nr	naam gebouw	adres_2	Bouwjaar	bvo	leeg/vrijkomend	jaar leeg		Website
van heenvlietlaan 220	van_heenvlietlaan_220_1		0000-00-00 00:00:00	van heenvlietlaan 220			POINT(4.8821053 52.3267664)		amsterdam 		amsterdam 	113	buitenveste	van heenvlietlaan 220	1974	11300	10600	vrijk-12	94%	"
"
aj ernststraat 3-55-157	aj_ernststraat_3_55_157_1		0000-00-00 00:00:00	aj ernststraat 3-55-157			POINT(4.888501 52.3318012)		amsterdam 		amsterdam 	114		aj ernststraat 3-55-157	1968	3300	3300	4-5	100%	"
"
noordhollandstraat 71	noordhollandstraat_71_1		0000-00-00 00:00:00	noordhollandstraat 71			POINT(4.8660293 52.3239479)		amsterdam 		amsterdam 	118	noordhollandstaete	noordhollandstraat 71	1972	4000		3-mei	93%	"
"
zwaansvliet 5	zwaansvliet_5_1		0000-00-00 00:00:00	zwaansvliet 5			POINT(4.8659072 52.3256011)		amsterdam 		amsterdam 	120	zwaansvliet	zwaansvliet 5	1966	3200	2300	3-4	71%	"
"
ijsbaanpad 1/amstelveenseweg 404	ijsbaanpad_1_amstelveenseweg_404		0000-00-00 00:00:00	ijsbaanpad 1/amstelveenseweg 404			POINT(4.8571016 52.3407064)		amsterdam 		amsterdam 	121	garden court	ijsbaanpad 1/amstelveenseweg 404	1961	4100	3200	1-3	76%	"
"
locatellikade 1	locatellikade_1_1		0000-00-00 00:00:00	locatellikade 1			POINT(4.8673704 52.3434573)		amsterdam 		amsterdam 	122	parnassustoren	locatellikade 1	1979	7200	7200	0-1	100%	"
"
stadhouderskade 84	stadhouderskade_84_2		0000-00-00 00:00:00	stadhouderskade 84			POINT(4.8935054 52.3577341)		amsterdam 		amsterdam 	123	stadhoudersstaete	stadhouderskade 84	1991	5000	5000	0-3	100%	"
"
karel du jardinstraat 61-67	karel_du_jardinstraat_61_67_1		0000-00-00 00:00:00	karel du jardinstraat 61-67			POINT(4.8960282 52.3516058)		amsterdam 		amsterdam 	124		karel du jardinstraat 61-67	1916	6800	6800	2-3	100%	"
"
de klencke 10-12	de_klencke_10_12_1		0000-00-00 00:00:00	de klencke 10-12			POINT(4.8854836 52.3339725)		amsterdam 		amsterdam 	126	officia 3	de klencke 10-12	1989	6800	6800	0-4	100%	"
"
burgerweeshuispad 101-131	burgerweeshuispad_101_131_1		0000-00-00 00:00:00	burgerweeshuispad 101-131			POINT(4.8554792 52.3401689)		amsterdam 		amsterdam 	127	tripolis	burgerweeshuispad 101-131	1993	7600		3-4	100%	"
"
president kennedyplantsoen 1-3	president_kennedyplantsoen_1_3_1		0000-00-00 00:00:00	president kennedyplantsoen 1-3			POINT(4.9006812 52.3408667)		amsterdam 		amsterdam 	129		president kennedyplantsoen 1-3	1990	3900	3900	1-4	100%	"
"
Anthony Fokkerweg 61	anthony_fokkerweg_61		0000-00-00 00:00:00	Anthony Fokkerweg 61			POINT(4.8428247 52.3406416)		amsterdam 		amsterdam 	130	media trade centre	Anthony Fokkerweg 61		6400	5500	vrijk	86%	"
"
prinses irenestraat 31-33	prinses_irenestraat_31_33_1		0000-00-00 00:00:00	prinses irenestraat 31-33			POINT(4.8760792 52.3416078)		amsterdam 		amsterdam 	131		prinses irenestraat 31-33	1974	7800	7800	4-5	100%	"
"
brachthuyzerstraat 4-8	brachthuyzerstraat_4_8_1		0000-00-00 00:00:00	brachthuyzerstraat 4-8			POINT(4.8664863 52.3537804)		amsterdam 		amsterdam 	132		brachthuyzerstraat 4-8	1908	1600	1600	3-4	100%	"
"
burg. stramanweg 101	burg_stramanweg_101_1		0000-00-00 00:00:00	burg. stramanweg 101			POINT(4.9299087 52.3083756)		amsterdam 		amsterdam 	135	straman house	burg. stramanweg 101	1989	6600	4100	4-5	62%	"
"
herikerbergweg 145-179	herikerbergweg_145_179_1		0000-00-00 00:00:00	herikerbergweg 145-179			POINT(4.9420715 52.307676)		amsterdam 		amsterdam 	136	mercurius	herikerbergweg 145-179	2004	12500	7900	0-9	64%	"
"
hessenbergweg 73-83	hessenbergweg_73_83_1		0000-00-00 00:00:00	hessenbergweg 73-83			POINT(4.9446159 52.3043064)		amsterdam 		amsterdam 	137		hessenbergweg 73-83	1999	2800	2800	3-4	100%	"
"
hettenheuvelweg 41-43	hettenheuvelweg_41_43_1		0000-00-00 00:00:00	hettenheuvelweg 41-43			POINT(4.9433435 52.3056335)		amsterdam 		amsterdam 	138		hettenheuvelweg 41-43	1988	2800	1900	1-6	67%	"
"
hettenheuvelweg 45-47	hettenheuvelweg_45_47_1		0000-00-00 00:00:00	hettenheuvelweg 45-47			POINT(4.9446826 52.3060949)		amsterdam 		amsterdam 	139	bridge building	hettenheuvelweg 45-47	1986	2800		0-10	100%	"
"
hogehilweg 10	hogehilweg_10_1		0000-00-00 00:00:00	hogehilweg 10			POINT(4.9474374 52.306267)		amsterdam 		amsterdam 	140	smith	hogehilweg 10	1987	4200	2800	0-6	67%	"
"
hogehilweg 17	hogehilweg_17_1		0000-00-00 00:00:00	hogehilweg 17			POINT(4.8810492 52.3528924)		amsterdam 		amsterdam 	141	la reine	hogehilweg 17	1984	4600	2600	vr-4	57%	"
"
hogehilweg 18	hogehilweg_18_1		0000-00-00 00:00:00	hogehilweg 18			POINT(4.949211 52.3063185)		amsterdam 		amsterdam 	142	prismatrium	hogehilweg 18	1990	3100	3100	3-10	100%	"
"
hogehilweg 21	hogehilweg_21_1		0000-00-00 00:00:00	hogehilweg 21			POINT(4.8766406 52.3370268)		amsterdam 		amsterdam 	145		hogehilweg 21	1983	10600	10600	vrijk	100%	"
"
hogehilweg 22	hogehilweg_22_1		0000-00-00 00:00:00	hogehilweg 22			POINT(4.9496882 52.3069944)		amsterdam 		amsterdam 	146		hogehilweg 22	1984	15600	15600	1-11	100%	"
"
hogehilweg 3	hogehilweg_3		0000-00-00 00:00:00	hogehilweg 3			POINT(4.9461729 52.3066218)		amsterdam 		amsterdam 	147	jupiter	hogehilweg 3	1985	4700	4700	0-7	100%	"
"
hogehilweg 8	hogehilweg_8_1		0000-00-00 00:00:00	hogehilweg 8			POINT(4.9472044 52.3059955)		amsterdam 		amsterdam 	149	keynes	hogehilweg 8	1988	4900	2800	1-12	57%	"
"
hullenbergweg 109-135	hullenbergweg_109_135_1		0000-00-00 00:00:00	hullenbergweg 109-135			POINT(4.9495854 52.304037)		amsterdam 		amsterdam 	161		hullenbergweg 109-135	2000	5900	5100	4-5	86%	"
"
hullenbergweg 278-308	hullenbergweg_278_308_1		0000-00-00 00:00:00	hullenbergweg 278-308			POINT(4.9510691 52.3047621)		amsterdam 		amsterdam 	162	vogelstruys	hullenbergweg 278-308	1999	8500	8500	5-6	100%	"
"
hullenbergweg 385-411	hullenbergweg_385_411_1		0000-00-00 00:00:00	hullenbergweg 385-411			POINT(4.9504225 52.3052596)		amsterdam 		amsterdam 	163		hullenbergweg 385-411	1999	3800	3300	3-4	86%	"
"
hullenbergweg 95-107	hullenbergweg_95_107_1		0000-00-00 00:00:00	hullenbergweg 95-107			POINT(4.9495854 52.304037)		amsterdam 		amsterdam 	164	tricity	hullenbergweg 95-107	2000	9400	5400	4-5	57%	"
"
karspeldreef 2	karspeldreef_2_1		0000-00-00 00:00:00	karspeldreef 2			POINT(4.9476868 52.3047669)		amsterdam 		amsterdam 	165	waterland	karspeldreef 2	1989	5500	5500	1-2	100%	"
"
keienbergweg 100	keienbergweg_100		0000-00-00 00:00:00	keienbergweg 100			POINT(4.9322112 52.3054724)		amsterdam 		amsterdam 	166		keienbergweg 100	1989	1800	1800	vrijk	100%	"
"
kuiperbergweg 33	kuiperbergweg_33_1		0000-00-00 00:00:00	kuiperbergweg 33			POINT(4.9405489 52.3003736)		amsterdam 		amsterdam 	167		kuiperbergweg 33	1989	2000	2000	2-3	100%	"
"
paalbergweg 26-36	paalbergweg_26_36_1		0000-00-00 00:00:00	paalbergweg 26-36			POINT(4.9548765 52.2992301)		amsterdam 		amsterdam 	168	white hill	paalbergweg 26-36	1991	3400	3200	1-9	92%	"
"
paalbergweg 42	paalbergweg_42_1		0000-00-00 00:00:00	paalbergweg 42			POINT(4.9546601 52.2993371)		amsterdam 		amsterdam 	169		paalbergweg 42	1999	2100	1500	2-3	75%	"
"
paalbergweg 9-11	paalbergweg_9_11_1		0000-00-00 00:00:00	paalbergweg 9-11			POINT(4.9566035 52.2984813)		amsterdam 		amsterdam 	170	holendrecht centre	paalbergweg 9-11	1982	33400	31500	5-6	94%	"
"
paalbergweg 44-66	paalbergweg_44_66_1		0000-00-00 00:00:00	paalbergweg 44-66			POINT(4.9535217 52.2988116)		amsterdam 		amsterdam 	171	de poort	paalbergweg 44-66	2000	5800	5400	0-11	94%	"
"
paasheuvelweg 3	paasheuvelweg_3_1		0000-00-00 00:00:00	paasheuvelweg 3			POINT(4.9520123 52.2998357)		amsterdam 		amsterdam 	172		paasheuvelweg 3	2000	4100	3200	0-13	78%	"
"
paasheuvelweg 31	paasheuvelweg_31_1		0000-00-00 00:00:00	paasheuvelweg 31			POINT(4.9524312 52.2978998)		amsterdam 		amsterdam 	173		paasheuvelweg 31	1989	1400	1400	3-4	100%	"
"
paasheuvelweg 8	paasheuvelweg_8_1		0000-00-00 00:00:00	paasheuvelweg 8			POINT(4.9502421 52.2983861)		amsterdam 		amsterdam 	174		paasheuvelweg 8	1988	2700	2700	9-13	100%	"
"
paasheuvelweg 40	paasheuvelweg_40		0000-00-00 00:00:00	paasheuvelweg 40			POINT(4.951721 52.2977778)		amsterdam 		amsterdam 	175		paasheuvelweg 40	1989	1600	1200	0-1	75%	"
"
pietersbergweg 17-31	pietersbergweg_17_31_1		0000-00-00 00:00:00	pietersbergweg 17-31			POINT(4.9558603 52.2995392)		amsterdam 		amsterdam 	176	trinity buildings C	pietersbergweg 17-31	2002	3900	3900	vrijk	100%	"
"
bijlmerdreef 1169	bijlmerdreef_1169		0000-00-00 00:00:00	bijlmerdreef 1169			POINT(4.9734475 52.3222456)		amsterdam 		amsterdam 	179		bijlmerdreef 1169	2002	2800	2800	vrijk	100%	"
"
kempering 100b	kempering_100b_1		0000-00-00 00:00:00	kempering 100b			POINT(4.9792417 52.3156833)		amsterdam 		amsterdam 	180		kempering 100b	1976	1500	1500	3-4	100%	"
"
frankemaheerd 2	frankemaheerd_2_2		0000-00-00 00:00:00	frankemaheerd 2			POINT(4.9508061 52.3155998)		amsterdam 		amsterdam 	181		frankemaheerd 2	1978	6600	6600	2-3	100%	"
"
frankemaheerd 2	frankemaheerd_2_3		0000-00-00 00:00:00	frankemaheerd 2			POINT(4.9508061 52.3155998)		amsterdam 		amsterdam 	181		frankemaheerd 2	1981	9100	9100	2-3	100%	"
"
bijlmerplein 395	bijlmerplein_395		0000-00-00 00:00:00	bijlmerplein 395			POINT(4.9536816 52.3154935)		amsterdam 		amsterdam 	182		bijlmerplein 395	2002	14600	14300	vrijk	98%	"
"
frankemaheerd 4	frankemaheerd_4_1		0000-00-00 00:00:00	frankemaheerd 4			POINT(4.9501321 52.3155344)		amsterdam 		amsterdam 	183		frankemaheerd 4	1978	3500	3500	2-3	100%	"
"
frankemaheerd 6	frankemaheerd_6_1		0000-00-00 00:00:00	frankemaheerd 6			POINT(4.9498996 52.3153178)		amsterdam 		amsterdam 	184		frankemaheerd 6	1981	8700	8700	2-3	100%	"
"
frankemaheerd 8	frankemaheerd_8_1		0000-00-00 00:00:00	frankemaheerd 8			POINT(4.9487705 52.3153047)		amsterdam 		amsterdam 	185		frankemaheerd 8	1979	2500	2500	2-3	100%	"
"
bijlmerplein 718/hoogoorddreef	bijlmerplein_718_hoogoorddreef		0000-00-00 00:00:00	bijlmerplein 718/hoogoorddreef			POINT(4.955260455608368 52.314363938583014)		amsterdam 		amsterdam 	186		bijlmerplein 718/hoogoorddreef	1984	3200	3200	1-2	100%	"
"
karspeldreef 15-19	karspeldreef_15_19		0000-00-00 00:00:00	karspeldreef 15-19			POINT(4.9526002 52.3071243)		amsterdam 		amsterdam 	187	de hoge karspel	karspeldreef 15-19	1993	15100	15100	vrijk	100%	"
"
eekholt 2	eekholt_2_1		0000-00-00 00:00:00	eekholt 2			POINT(4.9600245 52.3299689)		diemen		diemen	191	business point east	eekholt 2	1986	5100	5100	5-6	100%	"
"
eekholt 24-26	eekholt_24_26_2		0000-00-00 00:00:00	eekholt 24-26			POINT(4.9627084 52.3300505)		diemen		diemen	192	quadrant	eekholt 24-26	1980	5300	5300	8-9	100%	"
"
eekholt 24-26	eekholt_24_26_3		0000-00-00 00:00:00	eekholt 24-26			POINT(4.9627084 52.3300505)		diemen		diemen	192	quadrant	eekholt 24-26	1981	7600	7600	8-9	100%	"
"
eekholt 30	eekholt_30_1		0000-00-00 00:00:00	eekholt 30			POINT(4.9638558 52.329722)		diemen		diemen	194	cannenburgh	eekholt 30	1982	5700	5700	3-11	100%	"
"
wildenborch 1	wildenborch_1_1		0000-00-00 00:00:00	wildenborch 1			POINT(4.9608563 52.3289024)		diemen		diemen	195	wildenborch	wildenborch 1	1979	5000	5000	4-6	100%	"
"
wildenborch 2	wildenborch_2_1		0000-00-00 00:00:00	wildenborch 2			POINT(4.9614887 52.3287339)		diemen		diemen	196		wildenborch 2	1979	3400	3400	2-5	100%	"
"
wildenborch 4	wildenborch_4_1		0000-00-00 00:00:00	wildenborch 4			POINT(4.9620647 52.3283315)		diemen		diemen	197	borchstaete	wildenborch 4	1980	3600	3600	3-5	100%	"
"
wildenborch 9	wildenborch_9		0000-00-00 00:00:00	wildenborch 9			POINT(4.9613739 52.3269359)		diemen		diemen	198		wildenborch 9	1980	3500	3500	0-1	100%	"
"
diemerhof 20-26	diemerhof_20_26_1		0000-00-00 00:00:00	diemerhof 20-26			POINT(4.9532048 52.3263137)		diemen		diemen	199	sphinxstaete	diemerhof 20-26	1992	7700		0-10+	64%	"
"
diemermere 1-7	diemermere_1_7_1		0000-00-00 00:00:00	diemermere 1-7			POINT(4.9534306 52.3246781)		diemen		diemen	200		diemermere 1-7	1987	7900	7900	5-6	100%	"
"
nieuwe vaart 5-9	nieuwe_vaart_5_9_1		0000-00-00 00:00:00	nieuwe vaart 5-9			POINT(4.8553141 52.3502794)		amsterdam 		amsterdam 	201		nieuwe vaart 5-9		6800	6800	vrijk	100%	"
"
weesperstraat 105a	weesperstraat_105a_1		0000-00-00 00:00:00	weesperstraat 105a			POINT(4.9068739 52.3639006)		amsterdam 		amsterdam 	202		weesperstraat 105a	1995	5800	5800	vrijk	100%	"
"
weesperstraat 61-105/nieuwe keizersgracht 88/nieuwe achtergracht 49	weesperstraat_61_105_nieuwe_keizersgracht_88_nieuwe_achtergracht_49		0000-00-00 00:00:00	weesperstraat 61-105/nieuwe keizersgracht 88/nieuwe achtergracht 49			POINT(4.9076503 52.3626994)		amsterdam 		amsterdam 	203	metropool	weesperstraat 61-105/nieuwe keizersgracht 88/nieuwe achtergracht 49		14400	9900	vrijk	69%	"
"
wisselwerking 12	wisselwerking_12_1		0000-00-00 00:00:00	wisselwerking 12			POINT(4.9520301 52.3268839)		diemen		diemen	204		wisselwerking 12	1988	2700	1800	1-10	67%	"
"
pieter braaijweg 1-9	pieter_braaijweg_1_9_1		0000-00-00 00:00:00	pieter braaijweg 1-9			POINT(4.9234785 52.3291935)		ouder-amstel		ouder-amstel	205		pieter braaijweg 1-9	2005	6200	6200	vrijk	100%	"
"
laan van vlaanderen 141/bocholtstraat 58	laan_van_vlaanderen_141_bocholtstraat_58		0000-00-00 00:00:00	laan van vlaanderen 141/bocholtstraat 58			POINT(4.8165464 52.3466284)		amsterdam 		amsterdam 	206		laan van vlaanderen 141/bocholtstraat 58	2001	2100	2100	0-7	100%	"
"
donauweg 10	donauweg_10_1		0000-00-00 00:00:00	donauweg 10			POINT(4.8371129 52.3942182)		amsterdam 		amsterdam 	217	dw10	donauweg 10	1984	7700		8-9	51%	"
"
naritaweg 151-161	naritaweg_151_161_1		0000-00-00 00:00:00	naritaweg 151-161			POINT(4.8332819 52.3868843)		amsterdam 		amsterdam 	223	call center 2	naritaweg 151-161	1998	3000		3-5	50%	"
"
orlyplein 2-74	orlyplein_2_74_2		0000-00-00 00:00:00	orlyplein 2-74			POINT(4.8364942 52.3908)		amsterdam 		amsterdam 	224	busitel 2	orlyplein 2-74	2002	1000	1000	vrijk	100%	"
"
orlyplein 2-74	orlyplein_2_74_3		0000-00-00 00:00:00	orlyplein 2-74			POINT(4.8364942 52.3908)		amsterdam 		amsterdam 	224	busitel 2	orlyplein 2-74	1992	14200	14200	vrijk	100%	"
"
hessenbergweg 8-10	hessenbergweg_8_10_1		0000-00-00 00:00:00	hessenbergweg 8-10			POINT(4.9460761 52.3045542)		amsterdam 		amsterdam 	230		hessenbergweg 8-10	1987	2300		0-5	50%	"
"
hogehilweg 4	hogehilweg_4_1		0000-00-00 00:00:00	hogehilweg 4			POINT(4.9465605 52.3059761)		amsterdam 		amsterdam 	235	friedman	hogehilweg 4	1987	3800		vr-9	63%	"
"
hullenbergweg 413-439	hullenbergweg_413_439_1		0000-00-00 00:00:00	hullenbergweg 413-439			POINT(4.9498194 52.3055838)		amsterdam 		amsterdam 	236		hullenbergweg 413-439	1999	3800	3500	1-4	93%	"
"
eekholt 32	eekholt_32_1		0000-00-00 00:00:00	eekholt 32			POINT(4.9633885 52.3295047)		diemen		diemen	253	cannenburgh	eekholt 32	1982	4300	4300	2-12	100%	"
"
eekholt 40	eekholt_40_1		0000-00-00 00:00:00	eekholt 40			POINT(4.9644013 52.3294454)		diemen		diemen	254	diemer circle zuid	eekholt 40	2000	11000	8300	1-13	75%	"
"
eekholt 54	eekholt_54_2		0000-00-00 00:00:00	eekholt 54			POINT(4.9652869 52.3288733)		diemen		diemen	255		eekholt 54	1989	2400	2400	0-1	100%	"
"
eekholt 54	eekholt_54_3		0000-00-00 00:00:00	eekholt 54			POINT(4.9652869 52.3288733)		diemen		diemen	255		eekholt 54	1983	4000	4000	0-1	100%	"
"
nienoord 2-8	nienoord_2_8_1		0000-00-00 00:00:00	nienoord 2-8			POINT(4.9636247 52.3278068)		diemen		diemen	257		nienoord 2-8	1981	3200	3200	1-2	100%	"
"
dalsteindreef 141-151	dalsteindreef_141_151		0000-00-00 00:00:00	dalsteindreef 141-151			POINT(4.9541125 52.3284555)		diemen		diemen	258	vijverhoek	dalsteindreef 141-151	2002	3800	3800	0-3	100%	"
"
van der madeweg 41	van_der_madeweg_41_1		0000-00-00 00:00:00	van der madeweg 41			POINT(4.9217394 52.3253576)		ouder-amstel		ouder-amstel	260		van der madeweg 41		3400	3400	8-12	100%	"
"
entrada 101-164	entrada_101_164_1		0000-00-00 00:00:00	entrada 101-164			POINT(4.9313898 52.3312372)		ouder-amstel		ouder-amstel	261	entrada gebouw D	entrada 101-164	1989	5400	3400	3-8	63%	"
"
entrada 501	entrada_501_1		0000-00-00 00:00:00	entrada 501			POINT(4.9306776 52.3305963)		ouder-amstel		ouder-amstel	262	barcelona	entrada 501	1999	3600	2400	8-9	67%	"
"
entrada 701	entrada_701_1		0000-00-00 00:00:00	entrada 701			POINT(4.9310912 52.3303193)		ouder-amstel		ouder-amstel	263	valencia	entrada 701	1999	5000	5000	2-3	100%	"
"
h.j.e. wenckebachweg 90	h_j_e_wenckebachweg_90_1		0000-00-00 00:00:00	h.j.e. wenckebachweg 90			POINT(4.9274221 52.3348998)		ouder-amstel		ouder-amstel	264		h.j.e. wenckebachweg 90	2000	2800	2800	2-3	100%	"
"
joop geesinkweg 501	joop_geesinkweg_501_1		0000-00-00 00:00:00	joop geesinkweg 501			POINT(4.9318262 52.3344655)		ouder-amstel		ouder-amstel	265	koningsgracht 1	joop geesinkweg 501	2000	2400	1900	1-7	78%	"
"
joop geesinkweg 601	joop_geesinkweg_601		0000-00-00 00:00:00	joop geesinkweg 601			POINT(4.9325605 52.3343964)		ouder-amstel		ouder-amstel	266	koningsgracht 2	joop geesinkweg 601	2000	2700	2700	0-1	100%	"
"
joop geesinkweg 801	joop_geesinkweg_801_1		0000-00-00 00:00:00	joop geesinkweg 801			POINT(4.9340076 52.3349233)		ouder-amstel		ouder-amstel	267	koningsgracht 4	joop geesinkweg 801	2000	2700	2000	0-4	75%	"
"
laan van kronenburg 14	laan_van_kronenburg_14		0000-00-00 00:00:00	laan van kronenburg 14			POINT(4.8788931 52.3214064)		amstelveen		amstelveen	269	kronenstede	laan van kronenburg 14	1975	7400	7400	0-1	100%	"
"
laan van kronenburg 4-10	laan_van_kronenburg_4_10_1		0000-00-00 00:00:00	laan van kronenburg 4-10			POINT(4.8796977 52.3190281)		amstelveen		amstelveen	270	la couronne	laan van kronenburg 4-10	2006	3200	3200	0-1	100%	"
"
